城市,代码,链接
绍兴,658,//www.zhaopin.com/shaoxing/
四平,615,//www.zhaopin.com/siping/
苏州,639,//www.zhaopin.com/suzhou/
宿迁,648,//www.zhaopin.com/suqian/
宿州,675,//www.zhaopin.com/su4zhou/
随州,747,//www.zhaopin.com/suizhou/
上饶,701,//www.zhaopin.com/shangrao/
邵阳,753,//www.zhaopin.com/shaoyang/
十堰,738,//www.zhaopin.com/shiyan/
三门峡,730,//www.zhaopin.com/sanmenxia/
商洛,863,//www.zhaopin.com/shangluo/
松原,619,//www.zhaopin.com/songyuan/
遂宁,808,//www.zhaopin.com/suining/
韶关,764,//www.zhaopin.com/shaoguan/
三明,684,//www.zhaopin.com/sanming/
绥化,633,//www.zhaopin.com/suihua/
汕尾,775,//www.zhaopin.com/shanwei/
三河,10170,//jobs.zhaopin.com/sanhe/
三门,10145,//jobs.zhaopin.com/taizhou_re3375/
山南,849,//www.zhaopin.com/shannan/
上虞,10130,//jobs.zhaopin.com/shaoxing_re3386/
尚志,10160,//www.zhaopin.com/shangzhi/
神农架,10179,//www.zhaopin.com/shennongjia/
石河子,10061,//www.zhaopin.com/shihezi/
石嘴山,887,//www.zhaopin.com/shizuishan/
双城,10159,//www.zhaopin.com/shuangcheng/
双鸭山,626,//www.zhaopin.com/shuangyashan/
朔州,581,//www.zhaopin.com/shuozhou/
思茅,839,//jobs.zhaopin.com/puer_re3402/
宿松,10182,//jobs.zhaopin.com/susong/
绥芬河,10161,//www.zhaopin.com/suifenhe/
塞内加尔,919,//sou.zhaopin.com/Jobs/searchresult.ashx?jl=919&sm=0&p=1&sf=0
塞浦路斯,490,//sou.zhaopin.com/Jobs/searchresult.ashx?jl=490&sm=0&p=1&sf=0
沙特阿拉伯,517,//sou.zhaopin.com/Jobs/searchresult.ashx?jl=517&sm=0&p=1&sf=0
天津,531,//www.zhaopin.com/tianjin/
台州,662,//www.zhaopin.com/taizhou/
太原,576,//www.zhaopin.com/taiyuan/
泰安,710,//www.zhaopin.com/taian/
泰州,647,//www.zhaopin.com/tzhou/
唐山,566,//www.zhaopin.com/tangshan/
铁岭,610,//www.zhaopin.com/tieling/
铜川,855,//www.zhaopin.com/tongchuan/
通辽,591,//www.zhaopin.com/tongliao/
通化,617,//www.zhaopin.com/tonghua/
铜陵,670,//www.zhaopin.com/tongling/
天水,868,//www.zhaopin.com/tianshui/
铜仁,826,//www.zhaopin.com/tongren/
塔城,902,//www.zhaopin.com/tacheng/
台山,10112,//jobs.zhaopin.com/jiangmen_re3403/
太仓市,911,//www.zhaopin.com/taicang/
泰兴,10149,//jobs.zhaopin.com/tai4zhou_re3397/
天门,10140,//www.zhaopin.com/tianmen/
通州,10155,//jobs.zhaopin.com/nantong_re3399/
桐乡,10127,//jobs.zhaopin.com/jiaxing_re3381/
图木舒克,10177,//www.zhaopin.com/tumushuke/
吐鲁番,892,//www.zhaopin.com/tulufan/
屯昌,10189,//jobs.zhaopin.com/tunchang/
台湾省,563,//jobs.zhaopin.com/taiwan/
泰国,523,//sou.zhaopin.com/Jobs/searchresult.ashx?jl=523&sm=0&p=1&sf=0
坦桑尼亚,916,//sou.zhaopin.com/Jobs/searchresult.ashx?jl=916&sm=0&p=1&sf=0
土耳其,524,//sou.zhaopin.com/Jobs/searchresult.ashx?jl=524&sm=0&p=1&sf=0
武汉,736,//www.zhaopin.com/wuhan/
威海,711,//www.zhaopin.com/weihai/
潍坊,708,//www.zhaopin.com/weifang/
温州,655,//www.zhaopin.com/wenzhou/
乌鲁木齐,890,//www.zhaopin.com/wulumuqi/
无锡,636,//www.zhaopin.com/wuxi/
芜湖,665,//www.zhaopin.com/wuhu/
渭南,858,//www.zhaopin.com/weinan/
万宁,10186,//jobs.zhaopin.com/wanning/
温岭,10129,//jobs.zhaopin.com/taizhou_re3129/
文昌,10185,//www.zhaopin.com/wenchang/
文山,838,//www.zhaopin.com/wenshan/
乌海,589,//www.zhaopin.com/wuhai/
乌兰察布,596,//www.zhaopin.com/wulanchabu/
乌审旗,10031,//www.zhaopin.com/wushenqi/
乌苏,10166,//www.zhaopin.com/wusu/
吴忠,888,//www.zhaopin.com/wuzhong/
梧州,788,//www.zhaopin.com/wuzhou/
五家渠,10178,//www.zhaopin.com/wujiaqu/
五指山,10184,//jobs.zhaopin.com/wuzhishan/
武威,869,//www.zhaopin.com/wuwei/
武穴,10139,//www.zhaopin.com/wuxue/
乌干达,917,//sou.zhaopin.com/Jobs/searchresult.ashx?jl=917&sm=0&p=1&sf=0
乌克兰,525,//sou.zhaopin.com/Jobs/searchresult.ashx?jl=525&sm=0&p=1&sf=0
西安,854,//www.zhaopin.com/xian/
西藏,555,//www.zhaopin.com/xizang/
厦门,682,//www.zhaopin.com/xiamen/
咸阳,857,//www.zhaopin.com/xianyang/
襄阳,740,//www.zhaopin.com/xiangyang/
新乡,725,//www.zhaopin.com/xinxiang/
徐州,637,//www.zhaopin.com/xuzhou/
许昌,728,//www.zhaopin.com/xuchang/
信阳,733,//www.zhaopin.com/xinyang/
邢台,569,//www.zhaopin.com/xingtai/
新疆,560,//www.zhaopin.com/xinjiang/
新余,695,//www.zhaopin.com/xinyu/
孝感,743,//www.zhaopin.com/xiaogan/
宣城,680,//www.zhaopin.com/xuancheng/
咸宁,746,//www.zhaopin.com/xianning/
西宁,878,//www.zhaopin.com/xining/
西昌,10104,//www.zhaopin.com/xichang/
西平,10059,//www.zhaopin.com/xiping/
西双版纳,840,//www.zhaopin.com/xishuangbanna/
锡林郭勒盟,595,//www.zhaopin.com/xilinguole/
仙桃,10168,//www.zhaopin.com/xiantao/
香河,10167,//jobs.zhaopin.com/xianghe/
湘潭,751,//www.zhaopin.com/changzhutan/
湘西,762,//www.zhaopin.com/xiangxi/
象山,10154,//jobs.zhaopin.com/ningbo_re3373/
忻州,584,//www.zhaopin.com/xinzhou/
兴安盟,594,//www.zhaopin.com/xingan/
兴城,10023,//www.zhaopin.com/xingcheng/
兴平,10058,//www.zhaopin.com/xingping/
盱眙,10152,//jobs.zhaopin.com/huaian_re3398/
西咸新区,933,//www.zhaopin.com/xixianxinqu/
香港,561,//jobs.zhaopin.com/hongkong/
西班牙,520,//sou.zhaopin.com/Jobs/searchresult.ashx?jl=520&sm=0&p=1&sf=0
希腊,497,//sou.zhaopin.com/Jobs/searchresult.ashx?jl=497&sm=0&p=1&sf=0
新加坡,518,//sou.zhaopin.com/Jobs/searchresult.ashx?jl=518&sm=0&p=1&sf=0
新西兰,510,//sou.zhaopin.com/Jobs/searchresult.ashx?jl=510&sm=0&p=1&sf=0
